intent,precision,recall,f1,support,accuracy
comisiones cuenta,0.9111111111111111,0.803921568627451,0.8541666666666666,51.0,0.985985985985986
consulta transferencias cuenta,0.946236559139785,0.9166666666666666,0.9312169312169313,96.0,0.986986986986987
consultar movimientos cuenta,0.8623853211009175,0.7175572519083969,0.7833333333333333,131.0,0.9479479479479479
consultar swift/bic,0.9761904761904762,0.984,0.9800796812749003,125.0,0.994994994994995
contratar cuenta,0.9432624113475178,0.9568345323741008,0.95,139.0,0.985985985985986
justificante transferencia,0.963963963963964,0.8916666666666667,0.9264069264069265,120.0,0.982982982982983
none,0.7029702970297029,0.7717391304347826,0.7357512953367875,92.0,0.948948948948949
saldo de cuenta,0.9212598425196851,0.9669421487603306,0.9435483870967741,121.0,0.985985985985986
titulares cuenta,0.9333333333333333,0.7903225806451613,0.8558951965065502,124.0,0.9669669669669669
micro,0.8728728728728729,0.8728728728728729,0.8728728728728729,999.0,0.8728728728728729
macro,0.9067459239707214,0.8666278384537285,0.8844887130932078,111.0,0.9763096429763096
