entity,method,count,percentage,category,sub_method
Amount,ML Engine,16,76.19047619047619,EntityIdentifiedBy,Total
Amount,ML Engine,16,100.0,entityIdentifiedUsing,NER
Amount,FM Engine,5,23.809523809523807,EntityIdentifiedBy,Total
Amount,FM Engine,5,100.0,entityIdentifiedUsing,systemEntity
AmountOperator,ML Engine,24,92.3076923076923,EntityIdentifiedBy,Total
AmountOperator,ML Engine,24,100.0,entityIdentifiedUsing,NER
AmountOperator,FM Engine,2,7.6923076923076925,EntityIdentifiedBy,Total
AmountOperator,FM Engine,2,100.0,entityIdentifiedUsing,systemEntity
BalanceType,ML Engine,61,61.61616161616161,EntityIdentifiedBy,Total
BalanceType,ML Engine,61,100.0,entityIdentifiedUsing,NER
BalanceType,FM Engine,38,38.38383838383838,EntityIdentifiedBy,Total
BalanceType,FM Engine,25,65.78947368421053,entityIdentifiedUsing,systemEntity
BalanceType,FM Engine,13,34.21052631578947,entityIdentifiedUsing,Full Match
FilterExpense,ML Engine,25,100.0,EntityIdentifiedBy,Total
FilterExpense,ML Engine,25,100.0,entityIdentifiedUsing,NER
FilterIncome,ML Engine,17,100.0,EntityIdentifiedBy,Total
FilterIncome,ML Engine,17,100.0,entityIdentifiedUsing,NER
OtherAccount,FM Engine,2,50.0,EntityIdentifiedBy,Total
OtherAccount,FM Engine,2,100.0,entityIdentifiedUsing,Partial Match
OtherAccount,ML Engine,2,50.0,EntityIdentifiedBy,Total
OtherAccount,ML Engine,2,100.0,entityIdentifiedUsing,NER
TransferType,FM Engine,14,70.0,EntityIdentifiedBy,Total
TransferType,FM Engine,7,50.0,entityIdentifiedUsing,Partial Match
TransferType,FM Engine,5,35.714285714285715,entityIdentifiedUsing,Full Match
TransferType,FM Engine,2,14.285714285714285,entityIdentifiedUsing,systemEntity
TransferType,ML Engine,6,30.0,EntityIdentifiedBy,Total
TransferType,ML Engine,6,100.0,entityIdentifiedUsing,NER
