intent,precision,recall,f1,support,accuracy
Comisiones cuenta,0.9111111111111111,0.8913043478260869,0.9010989010989011,46.0,0.991
Consulta transferencias cuenta,0.946236559139785,0.9263157894736842,0.9361702127659575,95.0,0.988
Consultar movimientos cuenta,0.8623853211009175,0.9591836734693877,0.9082125603864735,98.0,0.981
Consultar SWIFT/BIC,0.9761904761904762,1.0,0.9879518072289156,123.0,0.997
Contratar cuenta,0.9432624113475178,0.9851851851851852,0.9637681159420289,135.0,0.99
Justificante transferencia,0.9642857142857143,1.0,0.9818181818181818,108.0,0.996
none,0.7029702970297029,0.7717391304347826,0.7357512953367875,92.0,0.949
Saldo de cuenta,0.9212598425196851,0.9915254237288136,0.9551020408163264,118.0,0.989
Titulares cuenta,0.9333333333333333,0.8990825688073395,0.9158878504672897,109.0,0.982
micro,0.9347319347319347,0.9639423076923077,0.9491124260355029,832.0,0.914
macro,0.9067816740064715,0.9360373465472532,0.9206401073178735,102.66666666666667,0.9847777777777778
